[6/6/2022 10:17:39 PM]
Idx 0 : [ 0.105485 , 0.07437837 , 0.03144932 , -0.1054851 , 0.07437736 , 0.03145027 , 24.92425 , 11.31892 , 775.812 , 14.37575 , 11.31887 , 775.8121 , 19.65 , 54.18707 , 776.3811 , 0.393 , 15.52762 , 0 , 270 , ]
Idx 1 : [ 0.105485 , 0.07437837 , 0.03144932 , -0.1054851 , 0.07437736 , 0.03145027 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.393 , 15.52762 , 0 , 270 , ]
Idx 2 : [ 1.881581 , 0.07176554 , 5.21101 , 1.624347 , 0.07249326 , 5.221882 , 5.328289 , -0.007838488 , 15.53868 , 5.189496 , -0.005652308 , 15.57129 , 5.201715 , -0.03677738 , 15.41923 , 2.126905 , 20.66737 , 0.3853588 , 261.7353 , ]
Idx 3 : [ 1.881781 , 0.07174367 , 5.210615 , 1.624476 , 0.07243651 , 5.221399 , 0.008462313 , -0.0009287287 , -0.01676267 , 0.005496454 , -0.002409127 , -0.02048771 , -0.003765527 , -0.0009059533 , -0.004777765 , 2.126816 , 20.66725 , 0.3757417 , 261.7292 , ]
Idx 4 : [ 1.881971 , 0.07171029 , 5.210196 , 1.624627 , 0.07238245 , 5.221024 , 0.0097667 , -0.001709173 , -0.02148674 , 0.007703485 , -0.002768249 , -0.0192404 , -0.004565932 , -0.00109265 , -0.005762353 , 2.126727 , 20.66714 , 0.3655662 , 261.7104 , ]
Idx 5 : [ 1.882133 , 0.07167482 , 5.209793 , 1.624777 , 0.07233018 , 5.220713 , 0.004952828 , -0.001089842 , -0.01236742 , 0.004608474 , -0.001606372 , -0.009553975 , -0.002725521 , -0.0006557368 , -0.003516801 , 2.126638 , 20.66703 , 0.3551038 , 261.6856 , ]
Idx 6 : [ 1.882175 , 0.07161248 , 5.209282 , 1.624803 , 0.07230121 , 5.220608 , 0.001158964 , -0.001721983 , -0.01411828 , 0.0007243523 , -0.00080008 , -0.002897409 , -0.002462798 , -0.0005893593 , -0.00305545 , 2.126549 , 20.66692 , 0.3537138 , 261.6603 , ]
Idx 7 : [ 1.8822 , 0.07155412 , 5.208843 , 1.624812 , 0.0722729 , 5.220482 , 0.0006001883 , -0.001385812 , -0.01041836 , 0.0002151619 , -0.0006723808 , -0.002989617 , -0.002106321 , -0.0005067628 , -0.002717834 , 2.126461 , 20.6668 , 0.3525032 , 261.6389 , ]
Idx 8 : [ 1.882169 , 0.07154614 , 5.208731 , 1.624785 , 0.0722332 , 5.220085 , -0.001453373 , -0.000371664 , -0.00523658 , -0.001264767 , -0.001847226 , -0.01846116 , -0.004149324 , -0.0009929531 , -0.00523658 , 2.126371 , 20.66669 , 0.3522522 , 261.6401 , ]
Idx 9 : [ 1.882137 , 0.07153809 , 5.208618 , 1.624732 , 0.07221651 , 5.220007 , -0.001062504 , -0.0002737367 , -0.003828258 , -0.00180869 , -0.0005677502 , -0.002660315 , -0.003017187 , -0.0007259091 , -0.003828258 , 2.126283 , 20.66658 , 0.3520114 , 261.6413 , ]
Idx 10 : [ 1.882108 , 0.07153016 , 5.208508 , 1.624717 , 0.07220209 , 5.219933 , -0.0005970045 , -0.0001600839 , -0.002233953 , -0.0002985023 , -0.0002912804 , -0.00150214 , -0.001800643 , -0.0004284952 , -0.002310985 , 2.126194 , 20.66646 , 0.3517587 , 261.6425 , ]
Idx 11 : [ 1.882068 , 0.07153285 , 5.208498 , 1.624692 , 0.07218349 , 5.219553 , -0.002002996 , 0.0001341292 , -0.0004769039 , -0.001263795 , -0.0009299627 , -0.01898078 , -0.004435206 , -0.001067073 , -0.005627466 , 2.126105 , 20.66635 , 0.3525305 , 261.6686 , ]
Idx 12 : [ 1.882028 , 0.07153481 , 5.208427 , 1.624622 , 0.07219034 , 5.219482 , -0.001231742 , 6.121612E-05 , -0.00219636 , -0.002174099 , 0.0002133289 , -0.00219636 , -0.00276771 , -0.0006641021 , -0.003502304 , 2.126016 , 20.66624 , 0.3536353 , 261.703 , ]
Idx 13 : [ 1.882014 , 0.07153636 , 5.20829 , 1.624546 , 0.07220232 , 5.219427 , -0.0004193019 , 4.542438E-05 , -0.004025299 , -0.002215312 , 0.0003511654 , -0.001621301 , -0.002606661 , -0.0006254587 , -0.003354416 , 2.125927 , 20.66612 , 0.3549057 , 261.7421 , ]
Idx 14 : [ 1.882034 , 0.07153875 , 5.208126 , 1.624499 , 0.07221347 , 5.21936 , 0.0006683719 , 7.956808E-05 , -0.005474283 , -0.001583405 , 0.0003719807 , -0.002227906 , -0.002975846 , -0.0007121343 , -0.003755613 , 2.125838 , 20.66601 , 0.3561301 , 261.7806 , ]
Idx 15 : [ 1.882045 , 0.07155514 , 5.207979 , 1.624494 , 0.0722208 , 5.219299 , 0.0003423597 , 0.0004903589 , -0.004393616 , -0.0001355174 , 0.0002193242 , -0.001825918 , -0.002653287 , -0.0006383582 , -0.003366537 , 2.125749 , 20.6659 , 0.3569856 , 261.8102 , ]
