[6/28/2022 9:44:14 PM]
Idx 0 : [ 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , ]
Idx 1 : [ -0.147051 , -0.8477313 , -0.02858925 , 0.1099801 , -0.8469609 , -0.03952599 , 0.0002378249 , -0.0002002736 , 0.0004005472 , 2.861052E-05 , -0.0004935314 , 0.0002288841 , -0.003275904 , 2.861052E-05 , -0.00497823 , 0.9388908 , 18.747 , 0.3981418 , 267.7542 , 270.637 , ]
Idx 2 : [ -0.1468517 , -0.847752 , -0.02830315 , 0.1101569 , -0.8469934 , -0.03923607 , 0.0006437366 , -0.0003880301 , 0.0001144421 , -3.218683E-05 , -0.0007438734 , 0.0002288841 , -0.005335861 , 0.0002324604 , -0.008468713 , 0.938713 , 18.74672 , 0.3863526 , 267.7132 , 270.6303 , ]
Idx 3 : [ -0.1466985 , -0.8477758 , -0.02801895 , 0.11031 , -0.8470286 , -0.03893852 , -0.0001466289 , -0.0003397499 , -0.0001716631 , -0.0001502052 , -0.0006777116 , 0.0002288841 , -0.004742193 , 0.000375513 , -0.008697596 , 0.9385549 , 18.74643 , 0.3722257 , 267.6644 , 270.6194 , ]
Idx 4 : [ -0.1465817 , -0.8478028 , -0.02773094 , 0.1104211 , -0.8470641 , -0.03863716 , -3.576314E-06 , -0.0003111394 , -0.0001716631 , -0.0001752394 , -0.000568634 , 0.0002288841 , -0.003508365 , 0.0004988959 , -0.008812039 , 0.9384379 , 18.74614 , 0.3596135 , 267.6046 , 270.6005 , ]
Idx 5 : [ -0.1464898 , -0.8478331 , -0.02745628 , 0.1105036 , -0.8471062 , -0.03835487 , -3.933946E-05 , -0.0001913328 , -0.0001716631 , -0.0003218683 , -0.000545388 , 5.722103E-05 , -0.002796678 , 0.000717051 , -0.008411491 , 0.9383447 , 18.74586 , 0.3481847 , 267.5455 , 270.5756 , ]
Idx 6 : [ -0.1463999 , -0.847866 , -0.02721786 , 0.1105798 , -0.847155 , -0.03811836 , -6.437366E-05 , -4.649209E-05 , -0.0001716631 , -0.0004720735 , -0.0005239301 , -0.0002288841 , -0.002760915 , 0.0009405707 , -0.007324292 , 0.9382527 , 18.74561 , 0.3371538 , 267.4973 , 270.55 , ]
Idx 7 : [ -0.146295 , -0.8478927 , -0.02701378 , 0.1106629 , -0.8471991 , -0.03792 , -5.900919E-05 , 8.404339E-05 , -0.0002288841 , -0.0007152629 , -0.0004363104 , -0.0004005472 , -0.003207954 , 0.0008851378 , -0.006351534 , 0.9381458 , 18.7454 , 0.3250265 , 267.4635 , 270.5284 , ]
Idx 8 : [ -0.1461617 , -0.8479061 , -0.02684975 , 0.1107464 , -0.8472267 , -0.03776932 , 0.00072778 , 9.119602E-05 , -5.722103E-05 , -0.0007653313 , -0.0003361736 , -0.0004577682 , -0.003268751 , 0.0004917433 , -0.00497823 , 0.9380368 , 18.74524 , 0.3126723 , 267.4472 , 270.5173 , ]
Idx 9 : [ -0.1460379 , -0.8479037 , -0.02673721 , 0.1108139 , -0.8472342 , -0.03767395 , 0.0009226892 , 9.119602E-05 , -5.722103E-05 , -0.0007689076 , -0.0002074262 , -0.0005722103 , -0.002793102 , 1.966973E-05 , -0.003433262 , 0.9379437 , 18.74512 , 0.3016311 , 267.4552 , 270.5175 , ]
Idx 10 : [ -0.1459782 , -0.8478904 , -0.02669716 , 0.1108489 , -0.8472268 , -0.03764725 , 0.0001144421 , 7.867892E-05 , -0.0001716631 , -0.0006258551 , -9.477233E-05 , -0.0005722103 , -0.001677291 , -0.000318292 , -0.001373305 , 0.9378878 , 18.74508 , 0.295016 , 267.4857 , 270.533 , ]
Idx 11 : [ -0.1459896 , -0.84787 , -0.02672005 , 0.1108406 , -0.847205 , -0.03767967 , -0.0006151261 , 3.576314E-05 , -0.0003433262 , -0.0005221419 , 7.51026E-05 , -0.0006294313 , -0.0002717999 , -0.0005775748 , 0.0003433262 , 0.9378787 , 18.74509 , 0.2953182 , 267.5265 , 270.5594 , ]
Idx 12 : [ -0.1460819 , -0.8478352 , -0.02678299 , 0.1107837 , -0.847176 , -0.03775024 , -0.001328601 , 0.0001323236 , -0.0004577682 , -0.0002646473 , -3.75513E-05 , -0.0006866524 , 0.001441255 , -0.000910172 , 0.001430526 , 0.9379268 , 18.74513 , 0.2985848 , 267.564 , 270.5938 , ]
